"number","from_date","to_date","backlog_all","inflow_all","outflow_all","backlog_normal","backlog_major","inflow_normal","inflow_major","outflow_normal","outflow_major"
"1",0,"1999-07-30","1999-08-05",1,1,0,0,0,0,0,0,0
"2",1,"1999-08-06","1999-08-12",1,0,0,0,0,0,0,0,0
"3",2,"1999-08-13","1999-08-19",1,0,0,0,0,0,0,0,0
"4",3,"1999-08-20","1999-08-26",1,0,0,0,0,0,0,0,0
"5",4,"1999-08-27","1999-09-02",1,0,0,0,0,0,0,0,0
"6",5,"1999-09-03","1999-09-09",1,0,0,0,0,0,0,0,0
"7",6,"1999-09-10","1999-09-16",1,0,0,0,0,0,0,0,0
"8",7,"1999-09-17","1999-09-23",1,0,0,0,0,0,0,0,0
"9",8,"1999-09-24","1999-09-30",2,1,0,0,0,0,0,0,0
"10",9,"1999-10-01","1999-10-07",2,0,0,0,0,0,0,0,0
"11",10,"1999-10-08","1999-10-14",2,0,0,0,0,0,0,0,0
"12",11,"1999-10-15","1999-10-21",2,0,0,0,0,0,0,0,0
"13",12,"1999-10-22","1999-10-28",2,0,0,0,0,0,0,0,0
