,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2000-10-30/2000-11-05,0,2000-10-30 00:00:00.000000000,2000-11-05 23:59:59.999999999,4,2,0,0,0,0,0,0,0
2000-11-06/2000-11-12,1,2000-11-06 00:00:00.000000000,2000-11-12 23:59:59.999999999,9,5,0,0,0,0,0,0,0
2000-11-13/2000-11-19,2,2000-11-13 00:00:00.000000000,2000-11-19 23:59:59.999999999,19,10,0,0,0,0,0,0,0
2000-11-20/2000-11-26,3,2000-11-20 00:00:00.000000000,2000-11-26 23:59:59.999999999,20,1,0,0,0,0,0,0,0
2000-11-27/2000-12-03,4,2000-11-27 00:00:00.000000000,2000-12-03 23:59:59.999999999,23,3,0,0,0,0,0,0,0
2000-12-04/2000-12-10,5,2000-12-04 00:00:00.000000000,2000-12-10 23:59:59.999999999,26,3,0,0,0,0,0,0,0
2000-12-11/2000-12-17,6,2000-12-11 00:00:00.000000000,2000-12-17 23:59:59.999999999,30,4,0,0,0,0,0,0,0
2000-12-18/2000-12-24,7,2000-12-18 00:00:00.000000000,2000-12-24 23:59:59.999999999,32,2,0,0,0,0,0,0,0
2000-12-25/2000-12-31,8,2000-12-25 00:00:00.000000000,2000-12-31 23:59:59.999999999,32,0,0,0,0,0,0,0,0
2001-01-01/2001-01-07,9,2001-01-01 00:00:00.000000000,2001-01-07 23:59:59.999999999,40,8,0,0,0,0,0,0,0
2001-01-08/2001-01-14,10,2001-01-08 00:00:00.000000000,2001-01-14 23:59:59.999999999,40,0,0,0,0,0,0,0,0
2001-01-15/2001-01-21,11,2001-01-15 00:00:00.000000000,2001-01-21 23:59:59.999999999,42,2,0,0,0,0,0,0,0
2001-01-22/2001-01-28,12,2001-01-22 00:00:00.000000000,2001-01-28 23:59:59.999999999,45,3,0,0,0,0,0,0,0
2001-01-29/2001-02-04,13,2001-01-29 00:00:00.000000000,2001-02-04 23:59:59.999999999,50,5,0,0,0,0,0,0,0
2001-02-05/2001-02-11,14,2001-02-05 00:00:00.000000000,2001-02-11 23:59:59.999999999,54,4,0,0,0,0,0,0,0
2001-02-12/2001-02-18,15,2001-02-12 00:00:00.000000000,2001-02-18 23:59:59.999999999,66,12,0,0,0,0,0,0,0
