,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2001-07-30/2001-08-05,46,2001-07-30 00:00:00.000000000,2001-08-05 23:59:59.999999999,317,17,0,163,8,0,29,0,0
2001-08-06/2001-08-12,47,2001-08-06 00:00:00.000000000,2001-08-12 23:59:59.999999999,336,19,0,169,6,0,31,2,0
2001-08-13/2001-08-19,48,2001-08-13 00:00:00.000000000,2001-08-19 23:59:59.999999999,344,8,0,175,6,0,32,1,0
2001-08-20/2001-08-26,49,2001-08-20 00:00:00.000000000,2001-08-26 23:59:59.999999999,363,19,0,186,11,0,32,0,0
2001-08-27/2001-09-02,50,2001-08-27 00:00:00.000000000,2001-09-02 23:59:59.999999999,373,10,0,192,6,0,34,2,0
2001-09-03/2001-09-09,51,2001-09-03 00:00:00.000000000,2001-09-09 23:59:59.999999999,386,13,0,196,4,0,34,0,0
2001-09-10/2001-09-16,52,2001-09-10 00:00:00.000000000,2001-09-16 23:59:59.999999999,399,13,0,201,5,0,35,1,0
2001-09-17/2001-09-23,53,2001-09-17 00:00:00.000000000,2001-09-23 23:59:59.999999999,412,13,0,204,3,0,38,3,0
2001-09-24/2001-09-30,54,2001-09-24 00:00:00.000000000,2001-09-30 23:59:59.999999999,423,11,0,207,3,0,40,2,0
2001-10-01/2001-10-07,55,2001-10-01 00:00:00.000000000,2001-10-07 23:59:59.999999999,448,25,0,222,15,0,41,1,0
2001-10-08/2001-10-14,56,2001-10-08 00:00:00.000000000,2001-10-14 23:59:59.999999999,468,20,0,226,4,0,42,1,0
2001-10-15/2001-10-21,57,2001-10-15 00:00:00.000000000,2001-10-21 23:59:59.999999999,489,21,0,237,11,0,43,1,0
2001-10-22/2001-10-28,58,2001-10-22 00:00:00.000000000,2001-10-28 23:59:59.999999999,516,27,0,247,10,0,47,4,0
2001-10-29/2001-11-04,59,2001-10-29 00:00:00.000000000,2001-11-04 23:59:59.999999999,531,15,0,256,9,0,50,3,0
2001-11-05/2001-11-11,60,2001-11-05 00:00:00.000000000,2001-11-11 23:59:59.999999999,552,21,0,269,13,0,52,2,0
2001-11-12/2001-11-18,61,2001-11-12 00:00:00.000000000,2001-11-18 23:59:59.999999999,573,21,0,276,7,0,52,0,0
2001-11-19/2001-11-25,62,2001-11-19 00:00:00.000000000,2001-11-25 23:59:59.999999999,592,19,0,283,7,0,54,2,0
2001-11-26/2001-12-02,63,2001-11-26 00:00:00.000000000,2001-12-02 23:59:59.999999999,617,25,0,295,12,0,55,1,0
2001-12-03/2001-12-09,64,2001-12-03 00:00:00.000000000,2001-12-09 23:59:59.999999999,630,13,0,298,3,0,56,1,0
2001-12-10/2001-12-16,65,2001-12-10 00:00:00.000000000,2001-12-16 23:59:59.999999999,645,15,0,304,6,0,58,2,0
2001-12-17/2001-12-23,66,2001-12-17 00:00:00.000000000,2001-12-23 23:59:59.999999999,659,14,0,311,7,0,59,1,0
2001-12-24/2001-12-30,67,2001-12-24 00:00:00.000000000,2001-12-30 23:59:59.999999999,667,8,0,316,5,0,60,1,0
2001-12-31/2002-01-06,68,2001-12-31 00:00:00.000000000,2002-01-06 23:59:59.999999999,686,19,0,323,7,0,64,4,0
2002-01-07/2002-01-13,69,2002-01-07 00:00:00.000000000,2002-01-13 23:59:59.999999999,706,20,0,332,9,0,64,0,0
2002-01-14/2002-01-20,70,2002-01-14 00:00:00.000000000,2002-01-20 23:59:59.999999999,722,16,0,340,8,0,64,0,0
2002-01-21/2002-01-27,71,2002-01-21 00:00:00.000000000,2002-01-27 23:59:59.999999999,738,16,0,349,9,0,65,1,0
2002-01-28/2002-02-03,72,2002-01-28 00:00:00.000000000,2002-02-03 23:59:59.999999999,751,13,0,351,2,0,67,2,0
2002-02-04/2002-02-10,73,2002-02-04 00:00:00.000000000,2002-02-10 23:59:59.999999999,769,18,0,357,6,0,70,3,0
2002-02-11/2002-02-17,74,2002-02-11 00:00:00.000000000,2002-02-17 23:59:59.999999999,790,21,0,361,4,0,75,5,0
2002-02-18/2002-02-24,75,2002-02-18 00:00:00.000000000,2002-02-24 23:59:59.999999999,804,14,0,361,0,0,77,2,0
2002-02-25/2002-03-03,76,2002-02-25 00:00:00.000000000,2002-03-03 23:59:59.999999999,822,18,0,370,9,0,79,2,0
