,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2011-10-03/2011-10-09,46,2011-10-03 00:00:00.000000000,2011-10-09 23:59:59.999999999,124,2,0,72,1,0,14,1,0
2011-10-10/2011-10-16,47,2011-10-10 00:00:00.000000000,2011-10-16 23:59:59.999999999,126,2,0,73,1,0,14,0,0
2011-10-17/2011-10-23,48,2011-10-17 00:00:00.000000000,2011-10-23 23:59:59.999999999,129,5,2,74,2,1,14,0,0
2011-10-24/2011-10-30,49,2011-10-24 00:00:00.000000000,2011-10-30 23:59:59.999999999,134,5,0,77,3,0,14,0,0
2011-10-31/2011-11-06,50,2011-10-31 00:00:00.000000000,2011-11-06 23:59:59.999999999,134,2,2,77,1,1,14,0,0
2011-11-07/2011-11-13,51,2011-11-07 00:00:00.000000000,2011-11-13 23:59:59.999999999,139,5,0,79,2,0,16,2,0
2011-11-14/2011-11-20,52,2011-11-14 00:00:00.000000000,2011-11-20 23:59:59.999999999,146,9,2,86,7,0,16,1,1
2011-11-21/2011-11-27,53,2011-11-21 00:00:00.000000000,2011-11-27 23:59:59.999999999,151,5,0,90,4,0,16,0,0
2011-11-28/2011-12-04,54,2011-11-28 00:00:00.000000000,2011-12-04 23:59:59.999999999,151,2,2,90,1,1,17,1,0
2011-12-05/2011-12-11,55,2011-12-05 00:00:00.000000000,2011-12-11 23:59:59.999999999,155,4,0,93,3,0,18,1,0
2011-12-12/2011-12-18,56,2011-12-12 00:00:00.000000000,2011-12-18 23:59:59.999999999,156,3,2,93,2,2,19,1,0
2011-12-19/2011-12-25,57,2011-12-19 00:00:00.000000000,2011-12-25 23:59:59.999999999,151,2,7,92,2,3,17,0,2
2011-12-26/2012-01-01,58,2011-12-26 00:00:00.000000000,2012-01-01 23:59:59.999999999,152,6,5,91,4,5,17,0,0
2012-01-02/2012-01-08,59,2012-01-02 00:00:00.000000000,2012-01-08 23:59:59.999999999,158,9,3,97,8,2,18,1,0
2012-01-09/2012-01-15,60,2012-01-09 00:00:00.000000000,2012-01-15 23:59:59.999999999,164,10,4,97,4,4,23,5,0
2012-01-16/2012-01-22,61,2012-01-16 00:00:00.000000000,2012-01-22 23:59:59.999999999,172,10,2,104,9,2,24,1,0
2012-01-23/2012-01-29,62,2012-01-23 00:00:00.000000000,2012-01-29 23:59:59.999999999,169,1,4,101,0,3,24,1,1
2012-01-30/2012-02-05,63,2012-01-30 00:00:00.000000000,2012-02-05 23:59:59.999999999,171,2,0,102,1,0,24,0,0
2012-02-06/2012-02-12,64,2012-02-06 00:00:00.000000000,2012-02-12 23:59:59.999999999,179,9,1,107,6,1,25,1,0
2012-02-13/2012-02-19,65,2012-02-13 00:00:00.000000000,2012-02-19 23:59:59.999999999,183,4,0,110,3,0,26,1,0
2012-02-20/2012-02-26,66,2012-02-20 00:00:00.000000000,2012-02-26 23:59:59.999999999,190,9,2,114,5,1,26,1,1
2012-02-27/2012-03-04,67,2012-02-27 00:00:00.000000000,2012-03-04 23:59:59.999999999,199,10,1,121,8,1,26,0,0
2012-03-05/2012-03-11,68,2012-03-05 00:00:00.000000000,2012-03-11 23:59:59.999999999,201,2,0,122,1,0,26,0,0
2012-03-12/2012-03-18,69,2012-03-12 00:00:00.000000000,2012-03-18 23:59:59.999999999,217,18,2,137,16,1,26,1,1
2012-03-19/2012-03-25,70,2012-03-19 00:00:00.000000000,2012-03-25 23:59:59.999999999,229,12,0,144,7,0,27,1,0
2012-03-26/2012-04-01,71,2012-03-26 00:00:00.000000000,2012-04-01 23:59:59.999999999,239,14,4,154,12,2,26,0,1
2012-04-02/2012-04-08,72,2012-04-02 00:00:00.000000000,2012-04-08 23:59:59.999999999,245,7,1,159,5,0,27,1,0
2012-04-09/2012-04-15,73,2012-04-09 00:00:00.000000000,2012-04-15 23:59:59.999999999,251,11,5,165,9,3,27,2,2
2012-04-16/2012-04-22,74,2012-04-16 00:00:00.000000000,2012-04-22 23:59:59.999999999,254,3,0,168,3,0,27,0,0
2012-04-23/2012-04-29,75,2012-04-23 00:00:00.000000000,2012-04-29 23:59:59.999999999,254,3,3,168,2,2,27,1,1
2012-04-30/2012-05-06,76,2012-04-30 00:00:00.000000000,2012-05-06 23:59:59.999999999,256,4,2,169,3,2,27,0,0
2012-05-07/2012-05-13,77,2012-05-07 00:00:00.000000000,2012-05-13 23:59:59.999999999,257,5,4,171,4,2,25,0,2
2012-05-14/2012-05-20,78,2012-05-14 00:00:00.000000000,2012-05-20 23:59:59.999999999,259,3,1,171,1,1,25,0,0
2012-05-21/2012-05-27,79,2012-05-21 00:00:00.000000000,2012-05-27 23:59:59.999999999,262,5,2,172,3,2,26,1,0
2012-05-28/2012-06-03,80,2012-05-28 00:00:00.000000000,2012-06-03 23:59:59.999999999,268,7,1,177,6,1,26,0,0
2012-06-04/2012-06-10,81,2012-06-04 00:00:00.000000000,2012-06-10 23:59:59.999999999,273,8,3,180,6,3,27,1,0
2012-06-11/2012-06-17,82,2012-06-11 00:00:00.000000000,2012-06-17 23:59:59.999999999,284,12,1,187,8,1,28,1,0
2012-06-18/2012-06-24,83,2012-06-18 00:00:00.000000000,2012-06-24 23:59:59.999999999,282,3,5,187,2,2,25,0,3
2012-06-25/2012-07-01,84,2012-06-25 00:00:00.000000000,2012-07-01 23:59:59.999999999,279,3,6,184,0,3,26,2,1
2012-07-02/2012-07-08,85,2012-07-02 00:00:00.000000000,2012-07-08 23:59:59.999999999,278,2,3,184,2,2,26,0,0
2012-07-09/2012-07-15,86,2012-07-09 00:00:00.000000000,2012-07-15 23:59:59.999999999,279,3,2,184,2,2,26,0,0
2012-07-16/2012-07-22,87,2012-07-16 00:00:00.000000000,2012-07-22 23:59:59.999999999,279,3,3,185,3,2,25,0,1
2012-07-23/2012-07-29,88,2012-07-23 00:00:00.000000000,2012-07-29 23:59:59.999999999,281,3,1,185,0,0,24,0,1
2012-07-30/2012-08-05,89,2012-07-30 00:00:00.000000000,2012-08-05 23:59:59.999999999,282,3,2,186,3,2,24,0,0
2012-08-06/2012-08-12,90,2012-08-06 00:00:00.000000000,2012-08-12 23:59:59.999999999,288,11,5,189,7,4,24,1,1
2012-08-13/2012-08-19,91,2012-08-13 00:00:00.000000000,2012-08-19 23:59:59.999999999,293,7,2,190,3,2,25,1,0
2012-08-20/2012-08-26,92,2012-08-20 00:00:00.000000000,2012-08-26 23:59:59.999999999,298,9,4,193,7,4,25,0,0
2012-08-27/2012-09-02,93,2012-08-27 00:00:00.000000000,2012-09-02 23:59:59.999999999,285,3,16,185,2,10,25,1,1
2012-09-03/2012-09-09,94,2012-09-03 00:00:00.000000000,2012-09-09 23:59:59.999999999,287,2,0,186,1,0,26,1,0
2012-09-10/2012-09-16,95,2012-09-10 00:00:00.000000000,2012-09-16 23:59:59.999999999,288,5,4,187,3,2,25,0,1
2012-09-17/2012-09-23,96,2012-09-17 00:00:00.000000000,2012-09-23 23:59:59.999999999,286,2,4,185,2,4,25,0,0
2012-09-24/2012-09-30,97,2012-09-24 00:00:00.000000000,2012-09-30 23:59:59.999999999,285,2,3,184,1,2,24,0,1
2012-10-01/2012-10-07,98,2012-10-01 00:00:00.000000000,2012-10-07 23:59:59.999999999,288,5,2,185,2,1,25,1,0
2012-10-08/2012-10-14,99,2012-10-08 00:00:00.000000000,2012-10-14 23:59:59.999999999,286,2,4,184,1,2,25,0,0
2012-10-15/2012-10-21,100,2012-10-15 00:00:00.000000000,2012-10-21 23:59:59.999999999,296,10,0,189,5,0,26,1,0
2012-10-22/2012-10-28,101,2012-10-22 00:00:00.000000000,2012-10-28 23:59:59.999999999,303,7,0,191,2,0,28,2,0
2012-10-29/2012-11-04,102,2012-10-29 00:00:00.000000000,2012-11-04 23:59:59.999999999,305,2,0,193,2,0,28,0,0
2012-11-05/2012-11-11,103,2012-11-05 00:00:00.000000000,2012-11-11 23:59:59.999999999,307,2,0,193,0,0,28,0,0
2012-11-12/2012-11-18,104,2012-11-12 00:00:00.000000000,2012-11-18 23:59:59.999999999,312,5,0,195,2,0,28,0,0
2012-11-19/2012-11-25,105,2012-11-19 00:00:00.000000000,2012-11-25 23:59:59.999999999,314,2,0,196,1,0,28,0,0
2012-11-26/2012-12-02,106,2012-11-26 00:00:00.000000000,2012-12-02 23:59:59.999999999,317,3,0,198,2,0,28,0,0
2012-12-03/2012-12-09,107,2012-12-03 00:00:00.000000000,2012-12-09 23:59:59.999999999,317,3,3,198,2,2,28,1,1
2012-12-10/2012-12-16,108,2012-12-10 00:00:00.000000000,2012-12-16 23:59:59.999999999,320,7,4,201,7,4,28,0,0
2012-12-17/2012-12-23,109,2012-12-17 00:00:00.000000000,2012-12-23 23:59:59.999999999,323,5,2,204,4,1,28,0,0
2012-12-24/2012-12-30,110,2012-12-24 00:00:00.000000000,2012-12-30 23:59:59.999999999,323,2,2,204,2,2,28,0,0
2012-12-31/2013-01-06,111,2012-12-31 00:00:00.000000000,2013-01-06 23:59:59.999999999,326,5,2,206,4,2,28,0,0
2013-01-07/2013-01-13,112,2013-01-07 00:00:00.000000000,2013-01-13 23:59:59.999999999,333,9,2,212,6,0,28,0,0
2013-01-14/2013-01-20,113,2013-01-14 00:00:00.000000000,2013-01-20 23:59:59.999999999,337,6,2,215,4,1,28,0,0
2013-01-21/2013-01-27,114,2013-01-21 00:00:00.000000000,2013-01-27 23:59:59.999999999,340,7,4,216,3,2,31,3,0
2013-01-28/2013-02-03,115,2013-01-28 00:00:00.000000000,2013-02-03 23:59:59.999999999,345,6,1,219,3,0,30,0,1
2013-02-04/2013-02-10,116,2013-02-04 00:00:00.000000000,2013-02-10 23:59:59.999999999,354,13,4,223,6,2,31,2,1
2013-02-11/2013-02-17,117,2013-02-11 00:00:00.000000000,2013-02-17 23:59:59.999999999,360,8,2,226,4,1,32,2,1
2013-02-18/2013-02-24,118,2013-02-18 00:00:00.000000000,2013-02-24 23:59:59.999999999,368,10,2,231,6,1,33,2,1
2013-02-25/2013-03-03,119,2013-02-25 00:00:00.000000000,2013-03-03 23:59:59.999999999,374,10,4,237,7,1,33,0,0
2013-03-04/2013-03-10,120,2013-03-04 00:00:00.000000000,2013-03-10 23:59:59.999999999,384,12,2,243,8,2,33,0,0
2013-03-11/2013-03-17,121,2013-03-11 00:00:00.000000000,2013-03-17 23:59:59.999999999,387,4,1,244,2,1,35,2,0
2013-03-18/2013-03-24,122,2013-03-18 00:00:00.000000000,2013-03-24 23:59:59.999999999,381,2,8,241,2,5,33,0,2
2013-03-25/2013-03-31,123,2013-03-25 00:00:00.000000000,2013-03-31 23:59:59.999999999,385,5,1,243,2,0,33,1,1
2013-04-01/2013-04-07,124,2013-04-01 00:00:00.000000000,2013-04-07 23:59:59.999999999,390,6,1,246,4,1,33,0,0
2013-04-08/2013-04-14,125,2013-04-08 00:00:00.000000000,2013-04-14 23:59:59.999999999,390,14,14,246,10,10,34,2,1
2013-04-15/2013-04-21,126,2013-04-15 00:00:00.000000000,2013-04-21 23:59:59.999999999,391,6,5,245,4,5,34,0,0
2013-04-22/2013-04-28,127,2013-04-22 00:00:00.000000000,2013-04-28 23:59:59.999999999,399,10,2,252,8,1,35,1,0
2013-04-29/2013-05-05,128,2013-04-29 00:00:00.000000000,2013-05-05 23:59:59.999999999,400,4,3,253,2,1,34,0,1
2013-05-06/2013-05-12,129,2013-05-06 00:00:00.000000000,2013-05-12 23:59:59.999999999,406,8,2,257,4,0,36,2,0
2013-05-13/2013-05-19,130,2013-05-13 00:00:00.000000000,2013-05-19 23:59:59.999999999,413,10,3,262,7,2,36,1,1
2013-05-20/2013-05-26,131,2013-05-20 00:00:00.000000000,2013-05-26 23:59:59.999999999,415,3,1,262,1,1,37,1,0
2013-05-27/2013-06-02,132,2013-05-27 00:00:00.000000000,2013-06-02 23:59:59.999999999,412,2,5,259,1,4,37,1,1
2013-06-03/2013-06-09,133,2013-06-03 00:00:00.000000000,2013-06-09 23:59:59.999999999,415,11,8,262,8,5,37,1,1
2013-06-10/2013-06-16,134,2013-06-10 00:00:00.000000000,2013-06-16 23:59:59.999999999,421,6,0,266,4,0,39,2,0
2013-06-17/2013-06-23,135,2013-06-17 00:00:00.000000000,2013-06-23 23:59:59.999999999,418,5,8,263,5,8,39,0,0
2013-06-24/2013-06-30,136,2013-06-24 00:00:00.000000000,2013-06-30 23:59:59.999999999,420,8,6,264,3,2,40,1,0
2013-07-01/2013-07-07,137,2013-07-01 00:00:00.000000000,2013-07-07 23:59:59.999999999,417,2,5,264,1,1,38,1,3
2013-07-08/2013-07-14,138,2013-07-08 00:00:00.000000000,2013-07-14 23:59:59.999999999,414,2,5,263,2,3,36,0,2
2013-07-15/2013-07-21,139,2013-07-15 00:00:00.000000000,2013-07-21 23:59:59.999999999,411,3,6,261,2,4,34,0,2
2013-07-22/2013-07-28,140,2013-07-22 00:00:00.000000000,2013-07-28 23:59:59.999999999,413,5,3,263,5,3,34,0,0
2013-07-29/2013-08-04,141,2013-07-29 00:00:00.000000000,2013-08-04 23:59:59.999999999,418,8,3,268,6,1,32,0,2
2013-08-05/2013-08-11,142,2013-08-05 00:00:00.000000000,2013-08-11 23:59:59.999999999,422,5,1,271,4,1,32,0,0
2013-08-12/2013-08-18,143,2013-08-12 00:00:00.000000000,2013-08-18 23:59:59.999999999,423,3,2,271,2,2,33,1,0
2013-08-19/2013-08-25,144,2013-08-19 00:00:00.000000000,2013-08-25 23:59:59.999999999,428,8,3,274,6,3,34,1,0
2013-08-26/2013-09-01,145,2013-08-26 00:00:00.000000000,2013-09-01 23:59:59.999999999,427,4,5,270,1,5,34,0,0
2013-09-02/2013-09-08,146,2013-09-02 00:00:00.000000000,2013-09-08 23:59:59.999999999,430,4,1,271,2,1,35,1,0
2013-09-09/2013-09-15,147,2013-09-09 00:00:00.000000000,2013-09-15 23:59:59.999999999,429,1,2,269,0,2,35,0,0
2013-09-16/2013-09-22,148,2013-09-16 00:00:00.000000000,2013-09-22 23:59:59.999999999,430,4,3,268,1,2,35,1,1
2013-09-23/2013-09-29,149,2013-09-23 00:00:00.000000000,2013-09-29 23:59:59.999999999,429,4,5,266,2,4,36,2,1
2013-09-30/2013-10-06,150,2013-09-30 00:00:00.000000000,2013-10-06 23:59:59.999999999,432,3,0,268,2,0,36,0,0
2013-10-07/2013-10-13,151,2013-10-07 00:00:00.000000000,2013-10-13 23:59:59.999999999,433,3,2,269,3,2,36,0,0
2013-10-14/2013-10-20,152,2013-10-14 00:00:00.000000000,2013-10-20 23:59:59.999999999,433,2,2,269,2,2,36,0,0
2013-10-21/2013-10-27,153,2013-10-21 00:00:00.000000000,2013-10-27 23:59:59.999999999,424,3,12,262,3,10,35,0,1
2013-10-28/2013-11-03,154,2013-10-28 00:00:00.000000000,2013-11-03 23:59:59.999999999,426,7,5,265,7,4,35,0,0
2013-11-04/2013-11-10,155,2013-11-04 00:00:00.000000000,2013-11-10 23:59:59.999999999,428,4,2,266,3,2,35,0,0
2013-11-11/2013-11-17,156,2013-11-11 00:00:00.000000000,2013-11-17 23:59:59.999999999,416,3,15,259,2,9,34,1,2
2013-11-18/2013-11-24,157,2013-11-18 00:00:00.000000000,2013-11-24 23:59:59.999999999,404,3,15,252,3,10,33,0,1
2013-11-25/2013-12-01,158,2013-11-25 00:00:00.000000000,2013-12-01 23:59:59.999999999,406,7,5,254,5,3,32,0,1
2013-12-02/2013-12-08,159,2013-12-02 00:00:00.000000000,2013-12-08 23:59:59.999999999,406,5,5,256,5,3,31,0,1
2013-12-09/2013-12-15,160,2013-12-09 00:00:00.000000000,2013-12-15 23:59:59.999999999,399,2,9,250,1,7,31,1,1
2013-12-16/2013-12-22,161,2013-12-16 00:00:00.000000000,2013-12-22 23:59:59.999999999,399,7,7,249,5,6,31,1,1
2013-12-23/2013-12-29,162,2013-12-23 00:00:00.000000000,2013-12-29 23:59:59.999999999,400,5,4,248,3,4,31,0,0
2013-12-30/2014-01-05,163,2013-12-30 00:00:00.000000000,2014-01-05 23:59:59.999999999,402,3,1,249,2,1,32,1,0
2014-01-06/2014-01-12,164,2014-01-06 00:00:00.000000000,2014-01-12 23:59:59.999999999,405,4,1,251,3,1,33,1,0
2014-01-13/2014-01-19,165,2014-01-13 00:00:00.000000000,2014-01-19 23:59:59.999999999,410,5,0,254,3,0,34,1,0
2014-01-20/2014-01-26,166,2014-01-20 00:00:00.000000000,2014-01-26 23:59:59.999999999,415,7,2,256,4,2,35,1,0
2014-01-27/2014-02-02,167,2014-01-27 00:00:00.000000000,2014-02-02 23:59:59.999999999,419,12,8,260,7,3,33,2,4
2014-02-03/2014-02-09,168,2014-02-03 00:00:00.000000000,2014-02-09 23:59:59.999999999,427,11,3,263,5,2,34,2,1
2014-02-10/2014-02-16,169,2014-02-10 00:00:00.000000000,2014-02-16 23:59:59.999999999,433,10,4,267,6,2,34,2,2
2014-02-17/2014-02-23,170,2014-02-17 00:00:00.000000000,2014-02-23 23:59:59.999999999,436,12,9,269,7,5,35,2,1
2014-02-24/2014-03-02,171,2014-02-24 00:00:00.000000000,2014-03-02 23:59:59.999999999,434,2,4,267,1,3,34,0,1
2014-03-03/2014-03-09,172,2014-03-03 00:00:00.000000000,2014-03-09 23:59:59.999999999,435,2,1,269,2,0,34,0,0
2014-03-10/2014-03-16,173,2014-03-10 00:00:00.000000000,2014-03-16 23:59:59.999999999,438,7,4,272,6,3,33,0,1
2014-03-17/2014-03-23,174,2014-03-17 00:00:00.000000000,2014-03-23 23:59:59.999999999,440,6,4,275,5,2,32,0,1
2014-03-24/2014-03-30,175,2014-03-24 00:00:00.000000000,2014-03-30 23:59:59.999999999,440,2,2,275,2,2,32,0,0
2014-03-31/2014-04-06,176,2014-03-31 00:00:00.000000000,2014-04-06 23:59:59.999999999,445,8,3,278,6,3,32,0,0
2014-04-07/2014-04-13,177,2014-04-07 00:00:00.000000000,2014-04-13 23:59:59.999999999,444,3,4,276,2,4,32,0,0
2014-04-14/2014-04-20,178,2014-04-14 00:00:00.000000000,2014-04-20 23:59:59.999999999,446,5,3,277,4,3,33,1,0
2014-04-21/2014-04-27,179,2014-04-21 00:00:00.000000000,2014-04-27 23:59:59.999999999,455,10,1,277,1,1,35,2,0
2014-04-28/2014-05-04,180,2014-04-28 00:00:00.000000000,2014-05-04 23:59:59.999999999,456,5,4,277,4,4,35,0,0
2014-05-05/2014-05-11,181,2014-05-05 00:00:00.000000000,2014-05-11 23:59:59.999999999,460,6,2,279,4,2,37,2,0
2014-05-12/2014-05-18,182,2014-05-12 00:00:00.000000000,2014-05-18 23:59:59.999999999,459,4,5,278,2,3,37,1,1
2014-05-19/2014-05-25,183,2014-05-19 00:00:00.000000000,2014-05-25 23:59:59.999999999,460,9,8,281,8,5,34,0,3
2014-05-26/2014-06-01,184,2014-05-26 00:00:00.000000000,2014-06-01 23:59:59.999999999,457,2,5,281,2,2,34,0,0
2014-06-02/2014-06-08,185,2014-06-02 00:00:00.000000000,2014-06-08 23:59:59.999999999,462,6,1,286,5,0,34,0,0
2014-06-09/2014-06-15,186,2014-06-09 00:00:00.000000000,2014-06-15 23:59:59.999999999,463,7,6,288,6,4,34,1,1
2014-06-16/2014-06-22,187,2014-06-16 00:00:00.000000000,2014-06-22 23:59:59.999999999,464,7,6,287,4,5,34,1,1
2014-06-23/2014-06-29,188,2014-06-23 00:00:00.000000000,2014-06-29 23:59:59.999999999,465,6,5,286,4,5,36,2,0
2014-06-30/2014-07-06,189,2014-06-30 00:00:00.000000000,2014-07-06 23:59:59.999999999,465,2,2,285,1,2,36,0,0
2014-07-07/2014-07-13,190,2014-07-07 00:00:00.000000000,2014-07-13 23:59:59.999999999,466,7,6,284,4,5,37,1,0
2014-07-14/2014-07-20,191,2014-07-14 00:00:00.000000000,2014-07-20 23:59:59.999999999,465,6,7,283,2,3,37,1,1
2014-07-21/2014-07-27,192,2014-07-21 00:00:00.000000000,2014-07-27 23:59:59.999999999,464,6,7,283,4,4,35,1,3
2014-07-28/2014-08-03,193,2014-07-28 00:00:00.000000000,2014-08-03 23:59:59.999999999,471,10,3,288,6,1,36,2,1
2014-08-04/2014-08-10,194,2014-08-04 00:00:00.000000000,2014-08-10 23:59:59.999999999,471,7,7,286,5,7,36,0,0
2014-08-11/2014-08-17,195,2014-08-11 00:00:00.000000000,2014-08-17 23:59:59.999999999,475,7,3,289,4,1,37,1,0
2014-08-18/2014-08-24,196,2014-08-18 00:00:00.000000000,2014-08-24 23:59:59.999999999,474,0,1,289,0,0,36,0,1
2014-08-25/2014-08-31,197,2014-08-25 00:00:00.000000000,2014-08-31 23:59:59.999999999,476,5,3,288,1,2,39,4,1
2014-09-01/2014-09-07,198,2014-09-01 00:00:00.000000000,2014-09-07 23:59:59.999999999,479,5,2,289,3,2,39,0,0
2014-09-08/2014-09-14,199,2014-09-08 00:00:00.000000000,2014-09-14 23:59:59.999999999,481,2,0,291,2,0,39,0,0
2014-09-15/2014-09-21,200,2014-09-15 00:00:00.000000000,2014-09-21 23:59:59.999999999,486,9,4,291,4,4,41,2,0
2014-09-22/2014-09-28,201,2014-09-22 00:00:00.000000000,2014-09-28 23:59:59.999999999,488,6,4,292,4,3,42,1,0
2014-09-29/2014-10-05,202,2014-09-29 00:00:00.000000000,2014-10-05 23:59:59.999999999,493,10,5,295,5,2,42,1,1
