,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2005-11-28/2005-12-04,46,2005-11-28 00:00:00.000000000,2005-12-04 23:59:59.999999999,1181,172,54,686,117,39,137,27,5
2005-12-05/2005-12-11,47,2005-12-05 00:00:00.000000000,2005-12-11 23:59:59.999999999,1143,218,256,662,135,159,135,37,39
2005-12-12/2005-12-18,48,2005-12-12 00:00:00.000000000,2005-12-18 23:59:59.999999999,1082,205,266,623,112,151,145,41,31
2005-12-19/2005-12-25,49,2005-12-19 00:00:00.000000000,2005-12-25 23:59:59.999999999,663,248,667,361,136,398,100,61,106
2005-12-26/2006-01-01,50,2005-12-26 00:00:00.000000000,2006-01-01 23:59:59.999999999,622,181,222,348,103,116,85,36,51
2006-01-02/2006-01-08,51,2006-01-02 00:00:00.000000000,2006-01-08 23:59:59.999999999,640,140,122,357,84,75,90,33,28
2006-01-09/2006-01-15,52,2006-01-09 00:00:00.000000000,2006-01-15 23:59:59.999999999,656,184,168,366,109,100,90,34,34
2006-01-16/2006-01-22,53,2006-01-16 00:00:00.000000000,2006-01-22 23:59:59.999999999,750,194,100,427,118,57,99,40,31
2006-01-23/2006-01-29,54,2006-01-23 00:00:00.000000000,2006-01-29 23:59:59.999999999,781,64,33,440,35,22,103,10,6
2006-01-30/2006-02-05,55,2006-01-30 00:00:00.000000000,2006-02-05 23:59:59.999999999,840,71,12,459,29,10,111,10,2
2006-02-06/2006-02-12,56,2006-02-06 00:00:00.000000000,2006-02-12 23:59:59.999999999,881,71,30,489,47,17,113,5,3
2006-02-13/2006-02-19,57,2006-02-13 00:00:00.000000000,2006-02-19 23:59:59.999999999,866,103,118,485,76,80,109,6,10
2006-02-20/2006-02-26,58,2006-02-20 00:00:00.000000000,2006-02-26 23:59:59.999999999,881,99,84,491,61,55,106,7,10
2006-02-27/2006-03-05,59,2006-02-27 00:00:00.000000000,2006-03-05 23:59:59.999999999,865,100,116,500,68,59,106,17,17
2006-03-06/2006-03-12,60,2006-03-06 00:00:00.000000000,2006-03-12 23:59:59.999999999,872,114,107,501,64,63,105,12,13
2006-03-13/2006-03-19,61,2006-03-13 00:00:00.000000000,2006-03-19 23:59:59.999999999,913,131,90,513,68,56,116,18,7
2006-03-20/2006-03-26,62,2006-03-20 00:00:00.000000000,2006-03-26 23:59:59.999999999,1006,195,102,572,109,50,134,32,14
2006-03-27/2006-04-02,63,2006-03-27 00:00:00.000000000,2006-04-02 23:59:59.999999999,989,131,148,554,62,80,127,9,16
2006-04-03/2006-04-09,64,2006-04-03 00:00:00.000000000,2006-04-09 23:59:59.999999999,1046,207,150,600,118,72,135,41,33
2006-04-10/2006-04-16,65,2006-04-10 00:00:00.000000000,2006-04-16 23:59:59.999999999,1108,250,188,636,128,92,157,69,47
2006-04-17/2006-04-23,66,2006-04-17 00:00:00.000000000,2006-04-23 23:59:59.999999999,1165,141,84,677,89,48,159,19,17
2006-04-24/2006-04-30,67,2006-04-24 00:00:00.000000000,2006-04-30 23:59:59.999999999,1168,174,171,694,107,90,163,31,27
2006-05-01/2006-05-07,68,2006-05-01 00:00:00.000000000,2006-05-07 23:59:59.999999999,1193,41,16,707,25,12,171,9,1
2006-05-08/2006-05-14,69,2006-05-08 00:00:00.000000000,2006-05-14 23:59:59.999999999,1186,116,123,714,78,71,164,17,24
2006-05-15/2006-05-21,70,2006-05-15 00:00:00.000000000,2006-05-21 23:59:59.999999999,1205,190,171,736,119,97,171,38,31
2006-05-22/2006-05-28,71,2006-05-22 00:00:00.000000000,2006-05-28 23:59:59.999999999,1270,229,164,787,159,108,179,34,26
2006-05-29/2006-06-04,72,2006-05-29 00:00:00.000000000,2006-06-04 23:59:59.999999999,1345,179,104,828,117,76,199,32,12
2006-06-05/2006-06-11,73,2006-06-05 00:00:00.000000000,2006-06-11 23:59:59.999999999,1377,249,217,860,175,143,199,40,40
2006-06-12/2006-06-18,74,2006-06-12 00:00:00.000000000,2006-06-18 23:59:59.999999999,1436,289,230,925,208,143,188,40,51
2006-06-19/2006-06-25,75,2006-06-19 00:00:00.000000000,2006-06-25 23:59:59.999999999,1471,152,117,951,101,75,184,22,26
2006-06-26/2006-07-02,76,2006-06-26 00:00:00.000000000,2006-07-02 23:59:59.999999999,1501,87,57,968,63,46,188,9,5
2006-07-03/2006-07-09,77,2006-07-03 00:00:00.000000000,2006-07-09 23:59:59.999999999,1493,48,56,963,26,31,189,9,8
2006-07-10/2006-07-16,78,2006-07-10 00:00:00.000000000,2006-07-16 23:59:59.999999999,1511,47,29,970,30,23,192,5,2
2006-07-17/2006-07-23,79,2006-07-17 00:00:00.000000000,2006-07-23 23:59:59.999999999,1518,62,55,972,41,39,195,6,3
2006-07-24/2006-07-30,80,2006-07-24 00:00:00.000000000,2006-07-30 23:59:59.999999999,1497,68,89,947,43,68,197,8,6
2006-07-31/2006-08-06,81,2006-07-31 00:00:00.000000000,2006-08-06 23:59:59.999999999,1481,72,88,938,48,57,196,8,9
2006-08-07/2006-08-13,82,2006-08-07 00:00:00.000000000,2006-08-13 23:59:59.999999999,1544,127,64,984,95,49,205,16,7
2006-08-14/2006-08-20,83,2006-08-14 00:00:00.000000000,2006-08-20 23:59:59.999999999,1523,76,97,973,53,64,200,8,13
2006-08-21/2006-08-27,84,2006-08-21 00:00:00.000000000,2006-08-27 23:59:59.999999999,1496,72,99,944,45,74,202,13,11
2006-08-28/2006-09-03,85,2006-08-28 00:00:00.000000000,2006-09-03 23:59:59.999999999,1543,121,74,981,78,41,205,17,14
2006-09-04/2006-09-10,86,2006-09-04 00:00:00.000000000,2006-09-10 23:59:59.999999999,1582,101,62,1012,79,48,208,10,7
2006-09-11/2006-09-17,87,2006-09-11 00:00:00.000000000,2006-09-17 23:59:59.999999999,1611,64,35,1035,39,16,213,9,4
2006-09-18/2006-09-24,88,2006-09-18 00:00:00.000000000,2006-09-24 23:59:59.999999999,1640,54,25,1058,40,17,212,4,5
2006-09-25/2006-10-01,89,2006-09-25 00:00:00.000000000,2006-10-01 23:59:59.999999999,1643,76,73,1053,42,47,215,10,7
2006-10-02/2006-10-08,90,2006-10-02 00:00:00.000000000,2006-10-08 23:59:59.999999999,1680,56,19,1065,27,15,216,2,1
2006-10-09/2006-10-15,91,2006-10-09 00:00:00.000000000,2006-10-15 23:59:59.999999999,1697,112,95,1087,86,64,212,8,12
2006-10-16/2006-10-22,92,2006-10-16 00:00:00.000000000,2006-10-22 23:59:59.999999999,1748,99,48,1117,61,31,224,14,2
2006-10-23/2006-10-29,93,2006-10-23 00:00:00.000000000,2006-10-29 23:59:59.999999999,1725,58,81,1104,45,58,219,2,7
2006-10-30/2006-11-05,94,2006-10-30 00:00:00.000000000,2006-11-05 23:59:59.999999999,1735,70,60,1109,51,46,228,10,1
2006-11-06/2006-11-12,95,2006-11-06 00:00:00.000000000,2006-11-12 23:59:59.999999999,1734,67,68,1119,53,43,220,4,12
2006-11-13/2006-11-19,96,2006-11-13 00:00:00.000000000,2006-11-19 23:59:59.999999999,1782,103,55,1157,80,42,223,6,3
2006-11-20/2006-11-26,97,2006-11-20 00:00:00.000000000,2006-11-26 23:59:59.999999999,1804,102,80,1176,78,59,222,8,9
2006-11-27/2006-12-03,98,2006-11-27 00:00:00.000000000,2006-12-03 23:59:59.999999999,1815,80,69,1177,52,51,232,15,5
2006-12-04/2006-12-10,99,2006-12-04 00:00:00.000000000,2006-12-10 23:59:59.999999999,1824,88,79,1167,48,58,251,25,6
